ECOMMERCE V/S CENTROS COMERCIALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
% consumidores / Fechas;20-mar;20-abr;20-may;24-jun;20-jul;20-ago;20-sept;20-oct;20-nov;20-dic;21-ene;21-feb;21-mar;21-abr;21-may;21-jun;21-jul;21-ago;21-sept;21-oct;21-nov;21-dic;22-ene;22-feb;22-mar;22-abr;22-may;22-jun;22-jul;22-ago;22-sept;22-oct;22-nov;22-dic;23-ene;23-feb;23-mar;23-abr;23-may;23-jun;23-jul;23-ago;23-sept
Compras online;33;39;40;42;71;78,5;77;78,5;79;81;85;84;84;83;83;89;85;80;79;87;86;90;83;78;74;76;69;72;70;63;60;69;57;56;63;60;57;59;71;70;69;67;65
Visitas mall;;;;;;;;;50;53;58;47;39;32;25;21;38;49;54;60;65;73;65;56;59;60;61;61;64;70;75;80;67;73;79;78;70;63;66;65;70;59;62
